Date and Time,Wheelchair Base Response
06/08/2019 09:58:04,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:04,STATUS: MOVEMENT,,
06/08/2019 09:58:04,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:05,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:05,STATUS: MOVEMENT,,
06/08/2019 09:58:05,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:06,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:06,STATUS: MOVEMENT,,
06/08/2019 09:58:06,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:07,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:07,STATUS: MOVEMENT,,
06/08/2019 09:58:07,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:08,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:08,STATUS: MOVEMENT,,
06/08/2019 09:58:08,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:09,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:09,STATUS: MOVEMENT,,
06/08/2019 09:58:09,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:10,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:10,STATUS: MOVEMENT,,
06/08/2019 09:58:10,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:11,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:11,STATUS: MOVEMENT,,
06/08/2019 09:58:11,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:12,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:12,STATUS: MOVEMENT,,
06/08/2019 09:58:12,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:13,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:13,STATUS: MOVEMENT,,
06/08/2019 09:58:13,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:14,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:14,STATUS: MOVEMENT,,
06/08/2019 09:58:14,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:15,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:15,STATUS: MOVEMENT,,
06/08/2019 09:58:15,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:16,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:16,STATUS: MOVEMENT,,
06/08/2019 09:58:16,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:17,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:17,STATUS: MOVEMENT,,
06/08/2019 09:58:17,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:18,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:18,STATUS: MOVEMENT,,
06/08/2019 09:58:18,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:19,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:19,STATUS: MOVEMENT,,
06/08/2019 09:58:19,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:20,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:20,STATUS: MOVEMENT,,
06/08/2019 09:58:20,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:21,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:21,STATUS: MOVEMENT,,
06/08/2019 09:58:21,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:22,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:22,STATUS: MOVEMENT,,
06/08/2019 09:58:22,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:23,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:23,STATUS: MOVEMENT,,
06/08/2019 09:58:23,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:24,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:24,STATUS: MOVEMENT,,
06/08/2019 09:58:24,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:25,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:25,STATUS: MOVEMENT,,
06/08/2019 09:58:25,STATUS: TELEMETRY,20.315V,0.000A,0.000A
06/08/2019 09:58:26,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:26,STATUS: MOVEMENT,,
06/08/2019 09:58:26,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:27,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:27,STATUS: MOVEMENT,,
06/08/2019 09:58:27,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:28,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:28,STATUS: MOVEMENT,,
06/08/2019 09:58:28,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:29,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:29,STATUS: MOVEMENT,,
06/08/2019 09:58:29,STATUS: TELEMETRY,20.285V,0.000A,0.000A
06/08/2019 09:58:30,STATUS: DISTANCE,0.00,0.00
06/08/2019 09:58:30,STATUS: MOVEMENT,,
06/08/2019 09:58:30,STATUS: TELEMETRY,20.285V,0.000A,0.000A
